Alignment Length: 	 %ID: 
Alignment Length: 	 %ID: 
Alignment Length: 	 %ID: 
Alignment Length: 	 %ID: 
Alignment Length: 	 %ID: 
Alignment Length: 444	 %ID: 61.712
Alignment Length: 442	 %ID: 61.991
Alignment Length: 442	 %ID: 62.443
Alignment Length: 442	 %ID: 61.312
Alignment Length: 444	 %ID: 61.486
Alignment Length: 442	 %ID: 61.538
Alignment Length: 442	 %ID: 61.991
Alignment Length: 442	 %ID: 61.538
Alignment Length: 442	 %ID: 61.538
Alignment Length: 442	 %ID: 61.991
Alignment Length: 444	 %ID: 61.486
Alignment Length: 444	 %ID: 61.261
Alignment Length: 442	 %ID: 61.312
Alignment Length: 442	 %ID: 61.991
Alignment Length: 442	 %ID: 61.991
Alignment Length: 442	 %ID: 61.538
Alignment Length: 442	 %ID: 61.765
Alignment Length: 442	 %ID: 61.765
Alignment Length: 442	 %ID: 61.538
Alignment Length: 442	 %ID: 61.312
Alignment Length: 442	 %ID: 61.086
Alignment Length: 442	 %ID: 61.086
Alignment Length: 442	 %ID: 61.086
Alignment Length: 442	 %ID: 61.086
Alignment Length: 442	 %ID: 61.086
Alignment Length: 442	 %ID: 62.443
Alignment Length: 444	 %ID: 60.586
Alignment Length: 444	 %ID: 60.586
Alignment Length: 442	 %ID: 61.538
Alignment Length: 442	 %ID: 61.312
Alignment Length: 442	 %ID: 61.312
Alignment Length: 442	 %ID: 61.312
Alignment Length: 442	 %ID: 61.312
Alignment Length: 442	 %ID: 61.538
Alignment Length: 444	 %ID: 60.586
Alignment Length: 442	 %ID: 61.538
Alignment Length: 442	 %ID: 61.312
Alignment Length: 442	 %ID: 61.312
Alignment Length: 442	 %ID: 61.765
Alignment Length: 442	 %ID: 61.991
Alignment Length: 443	 %ID: 60.271
Alignment Length: 443	 %ID: 60.271
Alignment Length: 442	 %ID: 60.181
Alignment Length: 443	 %ID: 59.594
Alignment Length: 442	 %ID: 57.692
Alignment Length: 513	 %ID: 55.166
Alignment Length: 446	 %ID: 55.830
Alignment Length: 446	 %ID: 55.830
Alignment Length: 446	 %ID: 55.830
Alignment Length: 446	 %ID: 54.709
Alignment Length: 446	 %ID: 54.709
Alignment Length: 446	 %ID: 54.484
Alignment Length: 443	 %ID: 57.336
Alignment Length: 444	 %ID: 54.279
Alignment Length: 444	 %ID: 54.505
Alignment Length: 439	 %ID: 53.759
Alignment Length: 446	 %ID: 54.933
Alignment Length: 443	 %ID: 55.982
Alignment Length: 442	 %ID: 58.145
Alignment Length: 440	 %ID: 56.818
Alignment Length: 442	 %ID: 57.014
Alignment Length: 448	 %ID: 53.795
Alignment Length: 445	 %ID: 54.831
Alignment Length: 444	 %ID: 50.000
Alignment Length: 441	 %ID: 47.846
Alignment Length: 441	 %ID: 47.846
Alignment Length: 441	 %ID: 48.073
Alignment Length: 441	 %ID: 48.073
Alignment Length: 441	 %ID: 49.206
Alignment Length: 441	 %ID: 49.206
Alignment Length: 441	 %ID: 48.753
Alignment Length: 441	 %ID: 48.526
Alignment Length: 441	 %ID: 47.619
Alignment Length: 441	 %ID: 47.619
Alignment Length: 441	 %ID: 48.299
Alignment Length: 441	 %ID: 48.299
Alignment Length: 441	 %ID: 48.299
Alignment Length: 441	 %ID: 48.299
Alignment Length: 441	 %ID: 48.299
Alignment Length: 441	 %ID: 47.619
Alignment Length: 287	 %ID: 62.021
Alignment Length: 287	 %ID: 62.021
Alignment Length: 287	 %ID: 62.021
Alignment Length: 287	 %ID: 62.021
Alignment Length: 287	 %ID: 62.021
Alignment Length: 228	 %ID: 64.474
Alignment Length: 228	 %ID: 64.474
Alignment Length: 228	 %ID: 64.474
Alignment Length: 228	 %ID: 64.474
Alignment Length: 228	 %ID: 63.596
Alignment Length: 228	 %ID: 63.596
Alignment Length: 220	 %ID: 63.182
Alignment Length: 220	 %ID: 63.182
Alignment Length: 220	 %ID: 63.182
Alignment Length: 220	 %ID: 64.091
Alignment Length: 220	 %ID: 63.636
Alignment Length: 220	 %ID: 63.636
Alignment Length: 214	 %ID: 63.551
Alignment Length: 214	 %ID: 63.551
Alignment Length: 214	 %ID: 63.551
Alignment Length: 214	 %ID: 63.551
Alignment Length: 214	 %ID: 63.551
Alignment Length: 214	 %ID: 63.551
Alignment Length: 214	 %ID: 63.551
Alignment Length: 214	 %ID: 63.551
Alignment Length: 214	 %ID: 63.551
Alignment Length: 214	 %ID: 63.551
Alignment Length: 214	 %ID: 63.551
Alignment Length: 214	 %ID: 63.551
Alignment Length: 214	 %ID: 63.551
Alignment Length: 214	 %ID: 63.551
Alignment Length: 214	 %ID: 63.551
Alignment Length: 214	 %ID: 63.551
Alignment Length: 214	 %ID: 63.551
Alignment Length: 214	 %ID: 63.551
Alignment Length: 214	 %ID: 63.551
Alignment Length: 214	 %ID: 63.551
Alignment Length: 214	 %ID: 63.551
Alignment Length: 214	 %ID: 63.551
Alignment Length: 214	 %ID: 63.551
Alignment Length: 214	 %ID: 63.551
Alignment Length: 214	 %ID: 63.551
Alignment Length: 214	 %ID: 63.551
Alignment Length: 214	 %ID: 63.551
Alignment Length: 214	 %ID: 63.551
Alignment Length: 214	 %ID: 63.551
Alignment Length: 214	 %ID: 63.551
Alignment Length: 214	 %ID: 63.551
Alignment Length: 214	 %ID: 63.551
Alignment Length: 214	 %ID: 63.084
Alignment Length: 214	 %ID: 63.084
Alignment Length: 214	 %ID: 63.084
Alignment Length: 214	 %ID: 62.617
Alignment Length: 214	 %ID: 62.617
Alignment Length: 207	 %ID: 65.700
Alignment Length: 207	 %ID: 66.184
Alignment Length: 207	 %ID: 65.217
Alignment Length: 207	 %ID: 65.217
Alignment Length: 207	 %ID: 65.217
Alignment Length: 207	 %ID: 65.217
Alignment Length: 207	 %ID: 65.217
Alignment Length: 207	 %ID: 65.700
Alignment Length: 207	 %ID: 65.700
Alignment Length: 207	 %ID: 65.700
Alignment Length: 207	 %ID: 65.700
Alignment Length: 207	 %ID: 64.734
Alignment Length: 207	 %ID: 65.700
Alignment Length: 207	 %ID: 64.251
Alignment Length: 207	 %ID: 65.217
Alignment Length: 207	 %ID: 65.217
Alignment Length: 207	 %ID: 64.251
Alignment Length: 207	 %ID: 65.700
Alignment Length: 207	 %ID: 65.217
Alignment Length: 207	 %ID: 64.734
